Pokemon Number, Total Stats
46,285
133,325
38,505
10,195
3,525
3.1,625
47,405
63,310
88,325
150,680
89,500
18,479
49,450
137,395
139,495
123,500
32,273
117,440
60,300
84,310
24,438
97,483
142.1,615
43,320
12,395
98,325
67,405
83,352
128,490
101,480
39,270
146,580
86,325
9.1,630
2,405
105,425
102,325
1,318
50,265
80.1,590
58,350
107,455
41,245
151,600
72,335
92,310
37,299
136,525
23,288
14,205
25,320
96,328
65.1,590
106,455
73,515
17,349
121,520
28,450
80,490
78,500
134,525
100,330
64,400
59,555
8,405
138,355
18.1,579
122,460
125,490
42,455
90,305
15.1,495
74,300
127.1,600
56,305
148,420
79,315
70,390
150.1,780
5,405
94.1,600
110,490
62,510
142,515
131,535
68,505
113,450
31,505
114,435
126,495
127,500
27,300
85,460
13,195
20,413
111,345
129,200
109,340
9,530
103,520
118,320
91,525
81,325
82,465
35,323
6.1,634
135,525
76,495
147,300
115,490
51,405
45,490
94,500
22,442
34,505
57,455
7,314
93,405
69,300
44,395
120,340
65,500
21,262
99,475
87,475
71,490
55,500
130.1,640
29,275
75,390
130,540
6,534
143,540
140,355
119,450
145,580
6.2,634
95,385
53,440
132,288
40,435
112,485
33,365
77,410
15,395
150.2,780
144,580
149,600
104,320
19,253
66,305
108,385
115.1,590
61,385
48,305
11,205
26,485
52,290
124,455
4,309
16,251
36,483
116,295
54,320
141,495
30,365
Before MergeSort: Pokemon #: 46, Stats: 285
Pokemon #: 133, Stats: 325
Pokemon #: 38, Stats: 505
Pokemon #: 10, Stats: 195
Pokemon #: 3, Stats: 525
Pokemon #: 3.1, Stats: 625
Pokemon #: 47, Stats: 405
Pokemon #: 63, Stats: 310
Pokemon #: 88, Stats: 325
Pokemon #: 150, Stats: 680
Pokemon #: 89, Stats: 500
Pokemon #: 18, Stats: 479
Pokemon #: 49, Stats: 450
Pokemon #: 137, Stats: 395
Pokemon #: 139, Stats: 495
Pokemon #: 123, Stats: 500
Pokemon #: 32, Stats: 273
Pokemon #: 117, Stats: 440
Pokemon #: 60, Stats: 300
Pokemon #: 84, Stats: 310
Pokemon #: 24, Stats: 438
Pokemon #: 97, Stats: 483
Pokemon #: 142.1, Stats: 615
Pokemon #: 43, Stats: 320
Pokemon #: 12, Stats: 395
Pokemon #: 98, Stats: 325
Pokemon #: 67, Stats: 405
Pokemon #: 83, Stats: 352
Pokemon #: 128, Stats: 490
Pokemon #: 101, Stats: 480
Pokemon #: 39, Stats: 270
Pokemon #: 146, Stats: 580
Pokemon #: 86, Stats: 325
Pokemon #: 9.1, Stats: 630
Pokemon #: 2, Stats: 405
Pokemon #: 105, Stats: 425
Pokemon #: 102, Stats: 325
Pokemon #: 1, Stats: 318
Pokemon #: 50, Stats: 265
Pokemon #: 80.1, Stats: 590
Pokemon #: 58, Stats: 350
Pokemon #: 107, Stats: 455
Pokemon #: 41, Stats: 245
Pokemon #: 151, Stats: 600
Pokemon #: 72, Stats: 335
Pokemon #: 92, Stats: 310
Pokemon #: 37, Stats: 299
Pokemon #: 136, Stats: 525
Pokemon #: 23, Stats: 288
Pokemon #: 14, Stats: 205
Pokemon #: 25, Stats: 320
Pokemon #: 96, Stats: 328
Pokemon #: 65.1, Stats: 590
Pokemon #: 106, Stats: 455
Pokemon #: 73, Stats: 515
Pokemon #: 17, Stats: 349
Pokemon #: 121, Stats: 520
Pokemon #: 28, Stats: 450
Pokemon #: 80, Stats: 490
Pokemon #: 78, Stats: 500
Pokemon #: 134, Stats: 525
Pokemon #: 100, Stats: 330
Pokemon #: 64, Stats: 400
Pokemon #: 59, Stats: 555
Pokemon #: 8, Stats: 405
Pokemon #: 138, Stats: 355
Pokemon #: 18.1, Stats: 579
Pokemon #: 122, Stats: 460
Pokemon #: 125, Stats: 490
Pokemon #: 42, Stats: 455
Pokemon #: 90, Stats: 305
Pokemon #: 15.1, Stats: 495
Pokemon #: 74, Stats: 300
Pokemon #: 127.1, Stats: 600
Pokemon #: 56, Stats: 305
Pokemon #: 148, Stats: 420
Pokemon #: 79, Stats: 315
Pokemon #: 70, Stats: 390
Pokemon #: 150.1, Stats: 780
Pokemon #: 5, Stats: 405
Pokemon #: 94.1, Stats: 600
